City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Capitao Poco,BR,2021-02-05 19:48,-1.7464,-47.0594,87.17,58,61,7.78
71,Upata,VE,2021-02-05 19:48,8.0086,-62.3989,87.01,63,94,4
72,Tautira,PF,2021-02-05 19:48,-17.7333,-149.15,82,65,55,1.99
73,Narsaq,GL,2021-02-05 19:41,60.9167,-46.05,21.2,35,1,3.91
74,Ambon,ID,2021-02-05 19:44,-3.6954,128.1814,80.89,78,99,4.97
75,Candido Mendes,BR,2021-02-05 19:48,-1.4467,-45.7167,83.57,61,53,8.21
76,Tosya,TR,2021-02-05 19:48,41.0155,34.0401,41.34,67,63,2.53
77,La Llagosta,ES,2021-02-05 19:48,41.5144,2.193,55.99,76,0,1.14
78,Butaritari,KI,2021-02-05 19:40,3.0707,172.7902,80.83,83,81,15.68
79,Hobart,AU,2021-02-05 19:38,-42.8794,147.3294,64.99,94,75,6.91
80,Bluff,NZ,2021-02-05 19:35,-46.6,168.3333,55.02,80,31,4.43
81,Airai,TL,2021-02-05 19:40,-8.9266,125.4092,61.66,100,100,3.11
82,Odessa,UA,2021-02-05 19:44,46.4775,30.7326,35.6,80,90,1.88
83,East London,ZA,2021-02-05 19:35,-33.0153,27.9116,69.8,100,75,9.22
84,Gravdal,NO,2021-02-05 19:48,68.1214,13.5031,26.6,93,40,4.61
85,Portland,US,2021-02-05 19:40,45.5234,-122.6762,50,87,40,14.97
86,Praia,CV,2021-02-05 19:43,14.9215,-23.5087,71.6,68,75,23.02
87,Luganville,VU,2021-02-05 19:48,-15.5333,167.1667,78.53,80,68,2.86
88,Kushmurun,KZ,2021-02-05 19:48,52.4503,64.6311,34.9,98,100,14.79
89,Bredasdorp,ZA,2021-02-05 19:39,-34.5322,20.0403,68,83,20,2.3
90,Horki,BY,2021-02-05 19:49,54.2861,30.9842,11.64,96,91,8.34
91,Umea,SE,2021-02-05 19:49,63.8284,20.2597,14,92,0,5.75
92,Quelimane,MZ,2021-02-05 19:49,-17.8786,36.8883,84.2,84,20,8.05
93,Victoria,HK,2021-02-05 19:38,22.2855,114.1577,64.99,78,0,4.59
94,Adrar,MR,2021-02-05 19:42,20.5022,-10.0711,69.13,24,13,9.51
95,Lompoc,US,2021-02-05 19:36,34.6391,-120.4579,66,47,1,3.44
96,Gazojak,TM,2021-02-05 19:49,41.1875,61.4036,50.77,47,100,9.73
97,Polyarnyy,RU,2021-02-05 19:49,69.1989,33.4478,14,92,75,17.02
98,Ahipara,NZ,2021-02-05 19:43,-35.1667,173.1667,64.87,81,100,4.52
99,Diapaga,BF,2021-02-05 19:49,12.0708,1.7889,82.72,15,0,7.47
100,Auki,SB,2021-02-05 19:49,-8.7676,160.7034,78.64,84,69,8.14
101,Norman Wells,CA,2021-02-05 19:36,65.282,-126.8329,-25.6,68,75,17.27
102,Havre-Saint-Pierre,CA,2021-02-05 19:49,50.2334,-63.5986,33.8,86,90,12.66
103,Tsumeb,NA,2021-02-05 19:49,-19.2333,17.7167,68,94,96,2.3
104,Port Elizabeth,ZA,2021-02-05 19:40,-33.918,25.5701,71.6,88,90,11.5
105,Pitimbu,BR,2021-02-05 19:39,-7.4706,-34.8086,86,58,0,10.36
106,Galle,LK,2021-02-05 19:48,6.0367,80.217,75.31,84,93,3.33
107,Frejus,FR,2021-02-05 19:49,43.4329,6.7352,55.4,82,20,3.44
108,Kapaa,US,2021-02-05 19:39,22.0752,-159.319,68,68,75,4.61
109,Daru,PG,2021-02-05 19:49,-9.0763,143.2092,79.39,82,99,11.1
110,Birjand,IR,2021-02-05 19:44,32.8663,59.2211,37.4,20,0,6.91
111,Otjimbingwe,NA,2021-02-05 19:49,-22.35,16.1333,81.88,39,76,7
112,Pangkalanbuun,ID,2021-02-05 19:49,-2.6833,111.6167,74.1,98,97,2.21
113,Pochutla,MX,2021-02-05 19:42,15.7432,-96.4661,82.99,74,75,12.66
114,Egvekinot,RU,2021-02-05 19:41,66.3167,-179.1667,-10.97,92,100,19.08
115,Hammerfest,NO,2021-02-05 19:49,70.6634,23.6821,28.4,80,75,18.41
116,Pangody,RU,2021-02-05 19:49,65.85,74.4859,-16.76,88,100,6.78
117,Bethel,US,2021-02-05 19:40,41.3712,-73.414,39.99,81,90,6.91
118,Chokurdakh,RU,2021-02-05 19:40,70.6333,147.9167,-9.8,89,100,14.54
119,Esperance,AU,2021-02-05 19:41,-33.8667,121.9,57.2,100,90,3.44
120,Ponta Do Sol,PT,2021-02-05 19:41,32.6667,-17.1,53.01,65,34,4
121,Faranah,GN,2021-02-05 19:49,10.0404,-10.7434,83.75,22,100,3.51
122,La Ronge,CA,2021-02-05 19:39,55.1001,-105.2842,-20.2,57,88,9.22
123,Cap Malheureux,MU,2021-02-05 19:49,-19.9842,57.6142,77,84,4,1.99
124,Saint George,US,2021-02-05 19:41,37.1041,-113.5841,54,33,1,5.55
125,Buluang,PH,2021-02-05 19:49,13.3068,123.3425,73.67,91,90,3.51
126,Taga,RO,2021-02-05 19:49,46.95,24.05,41,100,90,3.44
127,Patiya,BD,2021-02-05 19:49,22.2931,91.9762,56.57,59,0,2.84
128,Khatanga,RU,2021-02-05 19:40,71.9667,102.5,-32.6,78,13,8.12
129,Akyab,MM,2021-02-05 19:46,20.15,92.9,63.99,64,0,6.62
130,Los Llanos De Aridane,ES,2021-02-05 19:42,28.6585,-17.9182,60.8,55,20,16.11
131,San Luis,AR,2021-02-05 19:49,-33.295,-66.3356,85.96,22,0,2.68
132,Dhidhdhoo,MV,2021-02-05 19:49,6.8833,73.1,81.63,73,100,9.62
133,Kaitangata,NZ,2021-02-05 19:40,-46.2817,169.8464,55,81,92,4
134,Yar-Sale,RU,2021-02-05 19:35,66.8333,70.8333,-21.82,87,100,8.34
135,Upernavik,GL,2021-02-05 19:42,72.7868,-56.1549,5.74,74,99,3.31
136,San Patricio,US,2021-02-05 19:41,28.017,-97.5169,64,55,90,13.8
137,Waddan,LY,2021-02-05 19:48,29.1614,16.139,65.82,27,100,8.46
138,Antofagasta,CL,2021-02-05 19:44,-23.65,-70.4,71.6,64,20,12.66
139,Paamiut,GL,2021-02-05 19:42,61.994,-49.6678,20.48,78,0,9.46
140,Verkh-Usugli,RU,2021-02-05 19:49,52.7,115.1667,-11.13,86,28,2.89
141,Ilulissat,GL,2021-02-05 19:36,69.2167,-51.1,8.6,40,1,16.11
142,Wexford,IE,2021-02-05 19:49,52.3342,-6.4575,43,95,81,7.11
143,Ribeira Grande,PT,2021-02-05 19:39,38.5167,-28.7,59,72,75,12.66
144,Ler,SS,2021-02-05 19:49,8.3018,30.1418,80.46,16,0,9.57
145,Kijang,KR,2021-02-05 19:49,35.2442,129.2139,33.8,60,0,3.44
146,Saldanha,ZA,2021-02-05 19:36,-33.0117,17.9442,66.2,77,0,11.5
147,Nyurba,RU,2021-02-05 19:43,63.2842,118.3319,-41.82,80,41,3.18
148,Dikson,RU,2021-02-05 19:41,73.5069,80.5464,-33.57,83,4,9.71
149,Minot,US,2021-02-05 19:46,48.2325,-101.2963,6.8,56,75,20.71
150,Barrow,US,2021-02-05 19:39,71.2906,-156.7887,-14.8,76,75,8.05
151,Luderitz,NA,2021-02-05 19:39,-26.6481,15.1594,73.65,50,0,23.64
152,Itarema,BR,2021-02-05 19:40,-2.9248,-39.9167,82.02,69,22,14.76
153,Tessalit,ML,2021-02-05 19:45,20.1986,1.0114,76.05,16,42,12.15
154,Sitka,US,2021-02-05 19:41,57.0531,-135.33,35.6,93,90,4.61
155,Mnogovershinnyy,RU,2021-02-05 19:47,53.9353,139.9242,-14.94,90,100,4.25
156,Saryagash,KZ,2021-02-05 19:49,41.4511,69.1701,50,27,0,13.8
157,Puerto Ayora,EC,2021-02-05 19:39,-0.7393,-90.3518,86,66,40,17.27
158,Pontianak,ID,2021-02-05 19:49,-0.0333,109.3333,73.4,100,20,2.3
159,Ibra,OM,2021-02-05 19:47,22.6906,58.5334,55.04,72,0,1.63
160,Malakal,SS,2021-02-05 19:49,9.5334,31.6605,74.82,19,4,8.41
161,Kirkuk,IQ,2021-02-05 19:49,35.4681,44.3922,54.09,87,100,6.33
162,Vila Velha,BR,2021-02-05 19:39,-20.3297,-40.2925,87.01,74,75,18.41
163,Bambous Virieux,MU,2021-02-05 19:40,-20.3428,57.7575,80.6,78,40,8.05
164,Fallon,US,2021-02-05 19:49,39.4735,-118.7774,48.99,45,75,11.5
