City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Rocha,UY,83.16,clear sky,-34.4833,-54.3333,Beleza Pura B&B
436,Buenos Aires,AR,86.0,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
438,Sokoni,TZ,86.0,few clouds,-6.4333,39.55,Ujamaa Beach Resort
439,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
440,Ternate,ID,80.67,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
444,Nisia Floresta,BR,87.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
449,Luwuk,ID,77.77,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
452,Vanimo,PG,77.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Bartica,GY,86.0,scattered clouds,6.4,-58.6167,Relax Inn Hotel
463,Jawhar,SO,76.41,clear sky,2.7809,45.5005,cosoble spare parts
464,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
466,Bukoba,TZ,75.2,few clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
469,San Pedro De Macoris,DO,84.0,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
470,Kattivakkam,IN,75.2,haze,13.2167,80.3167,Raj's villa
473,Yeppoon,AU,77.0,overcast clouds,-23.1333,150.7333,Villa Mar Colina
474,Viedma,AR,77.0,clear sky,-40.8135,-62.9967,Hotel Cristal
475,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
480,Gladstone,AU,78.8,overcast clouds,-23.85,151.25,Highpoint International
487,Tulum,MX,82.4,few clouds,20.2167,-87.4667,Kin Ha Tulum
488,Vaitape,PF,81.37,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
490,Pedernales,DO,85.01,scattered clouds,18.0384,-71.744,Hotel Costa Marina
491,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
496,Arica,CL,78.8,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
497,Bac Lieu,VN,75.99,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
502,Luganville,VU,77.5,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
504,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
509,Porto Belo,BR,84.0,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
513,Quatre Cocos,MU,80.6,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
515,Santiago Del Estero,AR,87.01,scattered clouds,-27.7951,-64.2615,Hotel Urbano
524,Richards Bay,ZA,78.82,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
527,Bairiki,KI,77.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
533,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
535,Moerai,PF,80.51,light rain,-22.4333,-151.3333,Le Manotel
537,Santa Isabel,BR,78.8,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
539,Morondava,MG,84.04,overcast clouds,-20.2833,44.2833,La Case Bambou
543,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
544,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
551,Sambava,MG,79.79,scattered clouds,-14.2667,50.1667,Melrose
555,Bowen,AU,75.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
565,Sattahip,TH,75.2,mist,12.6664,100.9007,Makmai Sailom Heights
568,Aloleng,PH,78.89,few clouds,16.1307,119.7824,Agno Umbrella Rocks
572,Bintulu,MY,78.8,light rain,3.1667,113.0333,900 Boutique INN
573,Ugoofaaru,MV,82.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
576,Kigoma,TZ,80.6,few clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
583,Willowmore,ZA,84.31,clear sky,-33.2926,23.4895,Jumper's Place
588,Dzilam Gonzalez,MX,83.64,few clouds,21.2833,-88.9333,posadas
589,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
592,Dubai,AE,75.2,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
594,Praia,CV,75.2,broken clouds,14.9215,-23.5087,LT Aparthotel
602,Bangangte,CM,85.89,clear sky,5.1409,10.5198,Hôtel Cristal Foua Ndigong
607,Culebra,PR,84.2,clear sky,18.303,-65.301,Palmetto Guesthouse
608,Vao,NC,77.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
610,Arlit,NE,86.13,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
611,Amahai,ID,79.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
612,Manggar,ID,79.72,broken clouds,-2.8833,108.2667,Guest Hotel
613,Ambilobe,MG,76.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
614,Waddan,LY,76.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
620,Grand-Lahou,CI,83.95,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
628,Alta Floresta,BR,82.4,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
631,Tautira,PF,78.01,light rain,-17.7333,-149.15,Pension Oaoa
632,Dagumba-An,PH,75.99,overcast clouds,8.1531,124.5908,Barangay Besigan
634,Ewo,CG,85.66,light rain,-0.8725,14.8206,Residence Elonda Ewo
635,Pauini,BR,83.3,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
637,Santo Antonio Do Leverger,BR,86.0,broken clouds,-15.8656,-56.0767,Chácara Do SINETRAN
643,Mogadishu,SO,77.0,clear sky,2.0371,45.3438,Hotel Juba
649,Sainte-Marie,RE,80.6,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
658,Itanhem,BR,85.98,light rain,-17.1664,-40.33,Hotel Resende
659,Barra,BR,84.25,broken clouds,-11.0894,-43.1417,Motel Albatroz
665,Malanje,AO,75.04,light rain,-9.5402,16.340999999999998,Malanje Hotel
671,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
677,Dingle,PH,75.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
678,Gibara,CU,84.2,clear sky,21.1097,-76.1317,Sol y Mar
